distance_km,cargo_weight_kg,crop_name,perishability,vehicle_type,base_component,distance_component,weight_component,perishability_component,fair_freight
421.7,3833.0,Wheat,0.05,Heavy Truck,300.0,9277.0,1293.0,38.0,10816.0
328.4,5168.0,Tomato,0.85,Heavy Truck,300.0,7225.0,1358.0,502.0,9846.0
536.0,1140.0,Brinjal,0.75,Pickup,300.0,7504.0,489.0,724.0,8962.0
455.4,5772.0,Cauliflower,0.8,Heavy Truck,300.0,10019.0,2103.0,656.0,13007.0
119.3,6102.0,Cabbage,0.6,Heavy Truck,300.0,2625.0,582.0,129.0,3762.0
98.6,3193.0,Wheat,0.05,Mini Truck,300.0,1676.0,252.0,9.0,2272.0
389.6,6249.0,Potato,0.2,Heavy Truck,300.0,8571.0,1948.0,140.0,10860.0
153.1,1983.0,Brinjal,0.75,Mini Truck,300.0,2603.0,243.0,207.0,3408.0
15.8,3166.0,Wheat,0.05,Mini Truck,300.0,269.0,40.0,1.0,634.0
380.8,4294.0,Carrot,0.5,Heavy Truck,300.0,8378.0,1308.0,343.0,10165.0
314.1,5377.0,Brinjal,0.75,Heavy Truck,300.0,6910.0,1351.0,424.0,8968.0
642.6,2201.0,Sugarcane,0.4,Mini Truck,300.0,10924.0,1131.0,463.0,12811.0
406.0,3443.0,Cauliflower,0.8,Mini Truck,300.0,6902.0,1118.0,585.0,8552.0
510.4,3255.0,Soybean,0.1,Mini Truck,300.0,8677.0,1329.0,92.0,10618.0
173.1,2528.0,Cabbage,0.6,Mini Truck,300.0,2943.0,350.0,187.0,3918.0
191.9,2003.0,Cauliflower,0.8,Mini Truck,300.0,3262.0,308.0,276.0,4053.0
399.3,3578.0,Wheat,0.05,Heavy Truck,300.0,8785.0,1143.0,36.0,9957.0
305.7,2094.0,Carrot,0.5,Mini Truck,300.0,5197.0,512.0,275.0,6326.0
413.1,1523.0,Groundnut,0.1,Mini Truck,300.0,7023.0,503.0,74.0,7998.0
527.4,837.0,Brinjal,0.75,Pickup,300.0,7384.0,353.0,712.0,8629.0
383.9,293.0,Wheat,0.05,Pickup,300.0,5375.0,90.0,35.0,5732.0
517.1,1250.0,Soybean,0.1,Mini Truck,300.0,8791.0,517.0,93.0,9762.0
262.5,168.0,Potato,0.2,Pickup,300.0,3675.0,35.0,94.0,3984.0
578.1,317.0,Brinjal,0.75,Pickup,300.0,8093.0,147.0,780.0,9065.0
303.6,2837.0,Wheat,0.05,Mini Truck,300.0,5161.0,689.0,27.0,6238.0
587.1,225.0,Cauliflower,0.8,Pickup,300.0,8219.0,106.0,845.0,9244.0
352.2,1843.0,Cauliflower,0.8,Mini Truck,300.0,5987.0,519.0,507.0,7090.0
151.7,3938.0,Cauliflower,0.8,Heavy Truck,300.0,3337.0,478.0,218.0,4384.0
131.6,4694.0,Tomato,0.85,Heavy Truck,300.0,2895.0,494.0,201.0,3851.0
205.3,5722.0,Cauliflower,0.8,Heavy Truck,300.0,4517.0,940.0,296.0,5939.0
390.8,3369.0,Cotton,0.05,Mini Truck,300.0,6644.0,1053.0,35.0,8329.0
646.7,3918.0,Brinjal,0.75,Heavy Truck,300.0,14227.0,2027.0,873.0,18274.0
161.4,1131.0,Carrot,0.5,Pickup,300.0,2260.0,146.0,145.0,2939.0
595.7,426.0,Rice,0.05,Pickup,300.0,8340.0,203.0,54.0,8577.0
230.7,2794.0,Soybean,0.1,Mini Truck,300.0,3922.0,516.0,42.0,4761.0
389.0,6099.0,Cabbage,0.6,Heavy Truck,300.0,8558.0,1898.0,420.0,11087.0
140.1,6387.0,Green Chilli,0.7,Heavy Truck,300.0,3082.0,716.0,177.0,4253.0
72.1,1901.0,Cabbage,0.6,Mini Truck,300.0,1226.0,110.0,78.0,1674.0
290.5,3835.0,Cotton,0.05,Heavy Truck,300.0,6391.0,891.0,26.0,7918.0
198.3,3197.0,Tomato,0.85,Mini Truck,300.0,3371.0,507.0,303.0,4505.0
317.1,5075.0,Tomato,0.85,Heavy Truck,300.0,6976.0,1287.0,485.0,9219.0
349.7,1218.0,Maize,0.1,Mini Truck,300.0,5945.0,341.0,63.0,6767.0
32.3,880.0,Sugarcane,0.4,Pickup,300.0,452.0,23.0,23.0,781.0
248.3,4847.0,Tomato,0.85,Heavy Truck,300.0,5463.0,963.0,380.0,6969.0
598.1,2191.0,Wheat,0.05,Mini Truck,300.0,10168.0,1048.0,54.0,11244.0
391.0,399.0,Carrot,0.5,Pickup,300.0,5474.0,125.0,352.0,6155.0
229.5,3011.0,Maize,0.1,Mini Truck,300.0,3902.0,553.0,41.0,5005.0
533.8,2682.0,Wheat,0.05,Mini Truck,300.0,9075.0,1145.0,48.0,11039.0
251.8,5533.0,Potato,0.2,Heavy Truck,300.0,5540.0,1115.0,91.0,6837.0
592.5,4318.0,Brinjal,0.75,Heavy Truck,300.0,13035.0,2047.0,800.0,16805.0
97.6,6534.0,Sugarcane,0.4,Heavy Truck,300.0,2147.0,510.0,70.0,2955.0
610.9,1348.0,Cabbage,0.6,Mini Truck,300.0,10385.0,659.0,660.0,11532.0
161.0,6530.0,Soybean,0.1,Heavy Truck,300.0,3542.0,841.0,29.0,4803.0
291.3,303.0,Carrot,0.5,Pickup,300.0,4078.0,71.0,262.0,4653.0
586.5,2195.0,Wheat,0.05,Mini Truck,300.0,9970.0,1030.0,53.0,11599.0
218.4,4221.0,Cabbage,0.6,Heavy Truck,300.0,4805.0,737.0,236.0,6074.0
119.3,5952.0,Cotton,0.05,Heavy Truck,300.0,2625.0,568.0,11.0,3436.0
154.1,142.0,Cotton,0.05,Pickup,300.0,2157.0,18.0,14.0,2408.0
97.8,2398.0,Green Chilli,0.7,Mini Truck,300.0,1663.0,188.0,123.0,2227.0
116.4,5819.0,Maize,0.1,Heavy Truck,300.0,2561.0,542.0,21.0,3470.0
12.1,1819.0,Potato,0.2,Mini Truck,300.0,206.0,18.0,4.0,538.0
615.8,6521.0,Onion,0.3,Heavy Truck,300.0,13548.0,3213.0,333.0,18152.0
508.6,1734.0,Sugarcane,0.4,Mini Truck,300.0,8646.0,706.0,366.0,10194.0
415.3,3297.0,Potato,0.2,Mini Truck,300.0,7060.0,1095.0,150.0,8590.0
183.2,4534.0,Groundnut,0.1,Heavy Truck,300.0,4030.0,665.0,33.0,4938.0
231.8,2315.0,Soybean,0.1,Mini Truck,300.0,3941.0,429.0,42.0,4659.0
217.8,1349.0,Soybean,0.1,Mini Truck,300.0,3703.0,235.0,39.0,4223.0
446.0,2489.0,Groundnut,0.1,Mini Truck,300.0,7582.0,888.0,80.0,9181.0
74.9,898.0,Cauliflower,0.8,Pickup,300.0,1049.0,54.0,108.0,1494.0
245.7,680.0,Onion,0.3,Pickup,300.0,3440.0,134.0,133.0,3866.0
596.4,3751.0,Soybean,0.1,Heavy Truck,300.0,13121.0,1790.0,107.0,14770.0
207.4,740.0,Carrot,0.5,Pickup,300.0,2904.0,123.0,187.0,3516.0
182.3,1689.0,Green Chilli,0.7,Mini Truck,300.0,3099.0,246.0,230.0,3943.0
238.2,1074.0,Carrot,0.5,Pickup,300.0,3335.0,205.0,214.0,4211.0
