crop_name,grade,quantity_kg,month,region,base_price,perishability,demand_index,fair_price_kg,listing_price_kg,is_sold,days_to_sell
Soybean,A,1136.4,12,"Nashik, Maharashtra",46.0,0.1,1.01,53.12,64.11,0,25
Onion,C,167.7,1,"Guntur, Andhra Pradesh",28.0,0.3,1.01,16.95,17.83,0,25
Tomato,C,2617.0,12,"Bengaluru, Karnataka",24.0,0.85,1.17,19.63,23.04,0,25
Tomato,A,1147.6,6,"Guntur, Andhra Pradesh",24.0,0.85,1.01,33.39,38.58,0,25
Onion,A,1468.0,2,"Guntur, Andhra Pradesh",28.0,0.3,1.07,26.93,27.84,1,3
Maize,B,1208.1,9,"Koyambedu, Chennai, Tamil Nadu",23.0,0.1,1.21,22.12,26.64,0,25
Green Chilli,C,324.7,12,"Bengaluru, Karnataka",55.0,0.7,1.23,60.23,71.8,0,25
Cotton,A,1841.0,5,"Guntur, Andhra Pradesh",70.0,0.05,1.32,68.38,62.57,1,3
Soybean,B,2558.2,10,"Koyambedu, Chennai, Tamil Nadu",46.0,0.1,1.17,41.76,40.01,1,7
Groundnut,C,1330.9,11,"Bengaluru, Karnataka",72.0,0.1,1.28,65.0,56.7,1,5
Sugarcane,B,311.4,5,"Guntur, Andhra Pradesh",4.5,0.4,1.36,4.81,4.5,1,4
Maize,C,1096.3,3,"Indore, Madhya Pradesh",23.0,0.1,1.02,18.68,20.07,0,25
Wheat,C,1627.6,10,"Guntur, Andhra Pradesh",30.0,0.05,1.01,27.3,24.2,1,2
Onion,A,1717.5,11,"Anand, Gujarat",28.0,0.3,0.93,32.08,32.16,1,8
Cauliflower,B,2896.9,11,"Nashik, Maharashtra",26.0,0.8,1.24,19.71,21.81,0,25
Onion,B,1842.2,3,"Guntur, Andhra Pradesh",28.0,0.3,1.38,24.55,29.47,0,25
Wheat,C,3654.9,9,"Anand, Gujarat",30.0,0.05,1.34,26.65,29.14,0,25
Potato,B,3816.3,9,"Anand, Gujarat",20.0,0.2,1.36,23.65,28.79,0,25
Cabbage,B,491.9,1,"Indore, Madhya Pradesh",18.0,0.6,1.08,17.72,16.76,1,3
Cabbage,A,1969.7,12,"Koyambedu, Chennai, Tamil Nadu",18.0,0.6,0.93,17.63,20.35,0,25
Sugarcane,A,1927.4,11,"Anand, Gujarat",4.5,0.4,1.17,5.41,5.51,1,3
Cauliflower,C,1281.3,12,"Bengaluru, Karnataka",26.0,0.8,1.4,27.85,30.91,0,25
Carrot,C,1029.2,2,"Indore, Madhya Pradesh",34.0,0.5,0.93,25.52,27.7,0,25
Tomato,A,316.2,4,"Nashik, Maharashtra",24.0,0.85,0.92,28.49,27.98,1,5
Wheat,C,2180.0,4,"Indore, Madhya Pradesh",30.0,0.05,1.26,22.35,21.17,1,4
Brinjal,A,2653.0,2,"Koyambedu, Chennai, Tamil Nadu",22.0,0.75,1.08,25.03,25.39,1,7
Tomato,C,1640.4,1,"Koyambedu, Chennai, Tamil Nadu",24.0,0.85,1.07,19.71,18.25,1,4
Brinjal,A,1036.7,8,"Pune, Maharashtra",22.0,0.75,1.36,27.93,28.69,1,8
Cauliflower,A,3997.2,11,"Nashik, Maharashtra",26.0,0.8,1.32,32.19,38.29,0,25
